price_date,source_platform,category_normalized,avg_price,median_price,min_price,max_price,obs_count
2026-03-30 10:27:18.336000+00:00,jumia,tv,1949.0,1949.0,1949.0,1949.0,2
2026-03-30 10:27:18.337145+00:00,jumia,tv,1899.0,1899.0,1899.0,1899.0,2
2026-03-30 10:27:18.338308+00:00,jumia,tv,2130.0,2130.0,2130.0,2130.0,2
2026-03-30 10:27:18.339451+00:00,jumia,tv,2280.0,2280.0,2280.0,2280.0,2
2026-03-30 10:27:18.340599+00:00,jumia,tv,2299.0,2299.0,2299.0,2299.0,2
2026-03-30 10:27:18.341692+00:00,jumia,tv,3978.0,3978.0,3978.0,3978.0,2
2026-03-30 10:27:18.342797+00:00,jumia,tv,8429.0,8429.0,8429.0,8429.0,2
2026-03-30 10:27:18.344838+00:00,jumia,tv,6999.0,6999.0,6999.0,6999.0,2
2026-03-30 10:27:18.345854+00:00,jumia,tv,5199.0,5199.0,5199.0,5199.0,2
2026-03-30 10:27:18.346854+00:00,jumia,tv,5099.0,5099.0,5099.0,5099.0,2
2026-03-30 10:27:18.347853+00:00,jumia,tv,2969.0,2969.0,2969.0,2969.0,2
2026-03-30 10:27:18.348853+00:00,jumia,tv,3429.0,3429.0,3429.0,3429.0,2
2026-03-30 10:27:18.349853+00:00,jumia,tv,4199.0,4199.0,4199.0,4199.0,2
2026-03-30 10:27:18.351377+00:00,jumia,tv,6999.0,6999.0,6999.0,6999.0,2
2026-03-30 10:27:18.352407+00:00,jumia,tv,2799.0,2799.0,2799.0,2799.0,2
2026-03-30 10:27:18.354749+00:00,jumia,tv,5599.0,5599.0,5599.0,5599.0,2
2026-03-30 10:27:18.363826+00:00,jumia,tv,5199.0,5199.0,5199.0,5199.0,2
2026-03-30 10:27:18.364953+00:00,jumia,tv,3899.0,3899.0,3899.0,3899.0,2
2026-03-30 10:27:18.366024+00:00,jumia,tv,3599.0,3599.0,3599.0,3599.0,2
2026-03-30 10:27:18.367027+00:00,jumia,tv,6789.0,6789.0,6789.0,6789.0,2
2026-03-30 10:27:18.368416+00:00,jumia,tv,999.0,999.0,999.0,999.0,1
2026-03-30 10:27:18.369470+00:00,jumia,tv,1439.0,1439.0,1439.0,1439.0,1
2026-03-30 10:27:18.370467+00:00,jumia,tv,3999.0,3999.0,3999.0,3999.0,2
2026-03-30 10:27:18.372029+00:00,jumia,tv,1399.0,1399.0,1399.0,1399.0,1
2026-03-30 10:27:18.373097+00:00,jumia,tv,1799.0,1799.0,1799.0,1799.0,2
2026-03-30 10:27:18.374101+00:00,jumia,tv,1379.0,1379.0,1379.0,1379.0,2
2026-03-30 10:27:18.375102+00:00,jumia,tv,1152.0,1152.0,1152.0,1152.0,1
2026-03-30 10:27:18.377109+00:00,jumia,tv,2499.0,2499.0,2499.0,2499.0,1
2026-03-30 10:27:18.379053+00:00,jumia,tv,1129.0,1129.0,1129.0,1129.0,1
2026-03-30 10:27:18.381283+00:00,jumia,tv,2499.0,2499.0,2499.0,2499.0,2
2026-03-30 10:27:18.382863+00:00,jumia,tv,1085.0,1085.0,1085.0,1085.0,1
2026-03-30 10:27:18.383882+00:00,jumia,tv,2199.0,2199.0,2199.0,2199.0,1
2026-03-30 10:27:18.384924+00:00,jumia,tv,3189.0,3189.0,3189.0,3189.0,2
2026-03-30 10:27:18.385926+00:00,jumia,tv,950.0,950.0,950.0,950.0,1
2026-03-30 10:27:18.387932+00:00,jumia,tv,2458.5,2458.5,939.0,3978.0,2
2026-03-30 10:27:18.389425+00:00,jumia,tv,3899.0,3899.0,3899.0,3899.0,1
2026-03-30 10:27:18.391496+00:00,jumia,tv,980.0,980.0,980.0,980.0,1
2026-03-30 10:27:18.392520+00:00,jumia,tv,3299.0,3299.0,3299.0,3299.0,1
2026-03-30 10:27:18.394937+00:00,jumia,tv,2969.0,2969.0,2969.0,2969.0,1
2026-03-30 10:27:18.396845+00:00,jumia,tv,2039.0,2039.0,2039.0,2039.0,1
2026-03-30 10:27:18.397411+00:00,jumia,tv,5199.0,5199.0,5199.0,5199.0,1
2026-03-30 10:27:18.399464+00:00,jumia,tv,1239.0,1239.0,1239.0,1239.0,1
2026-03-30 10:27:18.400463+00:00,jumia,tv,8429.0,8429.0,8429.0,8429.0,1
2026-03-30 10:27:18.401459+00:00,jumia,tv,2499.0,2499.0,2499.0,2499.0,1
2026-03-30 10:27:18.403508+00:00,jumia,tv,1889.0,1889.0,1889.0,1889.0,1
2026-03-30 10:27:18.405597+00:00,jumia,tv,3479.0,3479.0,3479.0,3479.0,2
2026-03-30 10:27:18.407955+00:00,jumia,tv,6999.0,6999.0,6999.0,6999.0,1
2026-03-30 10:27:18.410046+00:00,jumia,tv,2029.0,2029.0,2029.0,2029.0,1
2026-03-30 10:27:18.411624+00:00,jumia,tv,2249.0,2249.0,2249.0,2249.0,2
2026-03-30 10:27:18.413306+00:00,jumia,tv,4799.0,4799.0,4799.0,4799.0,2
