name,price,category,source,url,scraped_at,source_label
Robe-chemise en lin a manches bouffantes,162.13,vetements,jumia,,2026-06-12T14:00:32.722944,
"24"" HD LED Récepteur intégré + TNT + HDMI + USB",849.56,tv,jumia,,2026-06-12T14:00:39.842422,
Woman Regular Fit Long Sleeve T-Shirt - Bordeaux - D6296AX.,40.12,vetements,jumia,,2026-06-12T15:09:52.145542,
Realme C75 128Go 8+16Go RAM | PRIX,1842.45,smartphones,micromagma,,2026-06-12T15:09:54.020495,
"Tripod Support Pour telephone Trépied d'appareil Photo Camera,",56.34,smartphones,jumia,,2026-06-12T15:10:07.294222,
écouteurs filaires intra-auriculaires oreillettes avec câble 3m sans micro,27.14,smartphones,jumia,,2026-06-12T15:10:41.262275,
"Google TV 55"" UHD Side Feet",4754.38,tv,jumia,,2026-06-12T15:10:45.150971,
"T-Shirt Femme Coupe Classique, Col Rond, Manches Courtes - D4658AX",45.63,vetements,jumia,,2026-06-12T15:11:20.057077,
Pantalon de jogging basique à coupe standard,118.87,vetements,jumia,,2026-06-12T15:11:40.477424,
"Galaxy A07 – 6.7"" – 64 Go – 4 Go RAM – Helio G99 – 5000 mAh/25W – 50MP – Noir",1079.63,smartphones,jumia,,2026-06-12T15:11:47.541593,
"11.6"" - MacBook Air A1465 - 4Go Ram - 128 SSD - macOS - Silver - Clavier Qwerty",1548.27,laptops,jumia,,2026-06-12T15:12:02.189660,
PC PORTABLE Latitude 7480 - INTEL CORE i5 - RAM 8Go - 256Go SSD - REMIS A NEUF,2165.99,laptops,jumia,,2026-06-12T15:12:23.155771,
U-15 Power Bank 20000mAh 22.5W Super Fast Charger High Quality,164.5,smartphones,jumia,,2026-06-12T15:12:36.080302,
Smart TV 55 4K UHD – Nouveau Modèle 2025 – Android 14 – Récepteur & TNT Intégrés – WiFi & Bluetooth,3120.92,tv,jumia,,2026-06-12T15:12:56.640340,
"Pc complet Prodesk 600G1 Core i7-3.2Ghz 8GB-HDD500Go écran 19""-Remis à neuf",1735.29,laptops,jumia,,2026-06-12T15:13:05.230416,
"Téléviseur Smart TV 43"" FHD – Modèle M430W800",1741.81,tv,jumia,,2026-06-12T15:13:05.890648,
Samsung Galaxy S24 Exynos 128Go 8Go RAM | PRIX,5017.16,smartphones,micromagma,,2026-06-12T15:13:14.568265,
"32"" - Smart TV QLED Full HD Google Tv et Dolby Audio, Design sans bordure, 32S5K",1463.28,tv,jumia,,2026-06-12T15:13:23.686668,
